place, lat, lon
이마트 만촌점, 35.87078211663648, 128.63687849822418 
롯데슈퍼 수성점, 35.84589404863538, 128.61245430751546  
하나로마트 동대구농협본점, 35.85905955784146, 128.63463652667943 
롯데슈퍼 대구고산점, 35.83946719998665, 128.69410722387144 
장보고식자재마트 황금점, 35.84361958923464 , 128.62342618242477 
나이스마트할인마트, 35.85923239203045, 128.63980693643865  
은탑할인마트, 35.84476940269298, 128.69577225808627 
홈마트 시지점, 35.84142058478679, 128.69414688132028 
대백마트 만촌점, 35.84986296204819, 128.65212695583384 
대백마트 사월점, 35.83745525862485, 128.72420738484178 
